time,icao,operation,airport,registration,flight,ac_type,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
2024-07-01 20:00:54,ac0bc4,takeoff,KRAP,N87531,UAL2620,B738,32,https://globe.adsbexchange.com/?icao=ac0bc4&zoom=13.5&showTrace=2024-07-01&timestamp=1719864054,2767.0,adsb_icao,A3,2011.0,BOEING,737-824,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 20:02:58,aa58a6,landing,KRAP,N766JM,ENY3975,E170,32,https://globe.adsbexchange.com/?icao=aa58a6&zoom=13.5&showTrace=2024-07-01&timestamp=1719864178,3232.0,adsb_icao,A3,2009.0,EMPRESA BRASILEIRA DE AERO S A,ERJ 170-100 STD,WILMINGTON TRUST CO TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 20:05:09,a29a36,landing,KRAP,N267NM,N267NM,VEZE,32,https://globe.adsbexchange.com/?icao=a29a36&zoom=13.5&showTrace=2024-07-01&timestamp=1719864309,1200.0,adsr_icao,A1,1985.0,RADTKE NORMAN H,VARIEZE,NYGAARD MICHAEL A,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 20:25:17,a83aea,takeoff,KRAP,N6296V,N6296V,BE35,,https://globe.adsbexchange.com/?icao=a83aea&zoom=13.5&showTrace=2024-07-01&timestamp=1719865517,1200.0,adsb_icao,A1,1967.0,BEECH,V35A,"FOLLIS CHAD, FOLLIS ANGIE",f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 20:49:11,aa58a6,takeoff,KRAP,N766JM,ENY3975,E170,32,https://globe.adsbexchange.com/?icao=aa58a6&zoom=13.5&showTrace=2024-07-01&timestamp=1719866951,1435.0,adsb_icao,A3,2009.0,EMPRESA BRASILEIRA DE AERO S A,ERJ 170-100 STD,WILMINGTON TRUST CO TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:11:22,aa558a,landing,KRAP,N765QS,EJA765,CL30,32,https://globe.adsbexchange.com/?icao=aa558a&zoom=13.5&showTrace=2024-07-01&timestamp=1719868282,5125.0,adsb_icao,A2,2014.0,BOMBARDIER INC,BD-100-1A10,"NETJETS SALES INC, HUNTSWOOD LLC, MOMENT JASON, MOMENT JESSICA, BARGER MATTHEW R, MICROSOFT FINANCING CORP",f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:15:05,a17bfe,landing,KRAP,N195NV,AAY678,A320,32,https://globe.adsbexchange.com/?icao=a17bfe&zoom=13.5&showTrace=2024-07-01&timestamp=1719868505,752.0,adsb_icao,A3,2016.0,AIRBUS,A320-214,ALLEGIANT AIR LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:17:47,a33e5e,takeoff,KRAP,N308PQ,EDV5041,CRJ9,32,https://globe.adsbexchange.com/?icao=a33e5e&zoom=13.5&showTrace=2024-07-01&timestamp=1719868667,624.0,adsb_icao,A3,2014.0,BOMBARDIER INC,CL-600-2D24,DELTA AIR LINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:23:12,a7012b,takeoff,KRAP,N550TY,MWT552,C550,32,https://globe.adsbexchange.com/?icao=a7012b&zoom=13.5&showTrace=2024-07-01&timestamp=1719868992,3732.0,adsb_icao,A1,1982.0,CESSNA,550,MIDWEST JET LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:49:36,abb63f,landing,KRAP,N854AL,N854AL,PC12,32,https://globe.adsbexchange.com/?icao=abb63f&zoom=13.5&showTrace=2024-07-01&timestamp=1719870576,217.0,adsb_icao,A1,2001.0,PILATUS,PC-12/45,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 21:59:55,a5e2bc,landing,KRAP,N479CA,SKW5834,CRJ2,32,https://globe.adsbexchange.com/?icao=a5e2bc&zoom=13.5&showTrace=2024-07-01&timestamp=1719871195,5126.0,adsb_icao,A2,2002.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
