time,operation,flight,ac_type,runway
2025-05-01 14:18:03,takeoff,UAL2270,B39M,27
2025-05-01 14:19:04,landing,SKW847Y,E75L,27
2025-05-01 14:20:19,takeoff,ASA1154,B738,27
2025-05-01 14:21:43,landing,SKW3310,E75L,27
2025-05-01 14:22:56,takeoff,UAL2343,A21N,27
2025-05-01 14:23:59,landing,SWA3162,B737,27
2025-05-01 14:24:53,takeoff,SWA477,B737,27
2025-05-01 14:25:47,landing,SWA799,B737,27
2025-05-01 14:26:57,takeoff,DAL754,A321,27
2025-05-01 14:28:17,landing,SKW3360,E75L,27
2025-05-01 14:29:31,takeoff,ASA24,B739,27
2025-05-01 14:30:15,landing,ASA892,B739,27
2025-05-01 14:31:21,takeoff,SWA4481,B738,27
2025-05-01 14:32:27,landing,SWA2026,B737,27
2025-05-01 14:35:15,takeoff,SWA1729,B737,27
2025-05-01 14:37:03,landing,SWA2204,B737,27
2025-05-01 14:38:58,landing,ASA1489,B739,27
2025-05-01 14:40:11,takeoff,AAL1651,A321,27
2025-05-01 14:41:06,landing,AAY1601,A320,27
2025-05-01 14:43:00,landing,SKW3107,E75L,27
2025-05-01 14:44:50,landing,SWA1440,B737,27
2025-05-01 14:46:13,takeoff,SWA1664,B737,27
2025-05-01 14:46:48,takeoff,LXJ438,E545,27
2025-05-01 14:48:14,takeoff,SWA2686,B737,27
2025-05-01 14:49:07,landing,EJA765,CL35,27
2025-05-01 14:50:08,takeoff,LXJ419,E545,27
2025-05-01 14:51:08,takeoff,SWA819,B737,27
2025-05-01 14:52:08,takeoff,PCM8684,C208,27
2025-05-01 14:53:57,takeoff,DAL2530,B738,27
2025-05-01 14:55:02,takeoff,SWA4593,B38M,27
2025-05-01 14:56:10,landing,SWA645,B737,27
2025-05-01 14:57:52,landing,SWA1264,B737,27
2025-05-01 14:59:41,landing,SWA2120,B737,27
2025-05-01 15:03:14,landing,SKW3284,E75L,27
2025-05-01 15:05:04,landing,SWA482,B737,27
2025-05-01 15:07:38,landing,N884HJ,C680,27
2025-05-01 15:09:19,landing,SKW3337,E75L,27
2025-05-01 15:10:57,landing,SWA1459,B737,27
2025-05-01 15:14:13,landing,SWA4697,B737,27
2025-05-01 15:15:32,takeoff,SWA931,B737,27
2025-05-01 15:16:08,takeoff,PCM8685,C208,27
2025-05-01 15:17:27,takeoff,N96PB,C25B,27
2025-05-01 15:18:47,landing,N721AZ,GLF5,27
2025-05-01 15:20:25,takeoff,UAL548,B739,27
2025-05-01 15:21:42,takeoff,DAL762,B764,27
2025-05-01 15:23:37,landing,ASA869,B39M,27
2025-05-01 15:24:45,takeoff,UAL2863,B739,27
2025-05-01 15:26:00,landing,AAL2020,A321,27
2025-05-01 15:27:14,takeoff,SKW3180,E75L,27
2025-05-01 15:27:51,landing,AAL2362,A321,27
2025-05-01 15:28:56,takeoff,SWA1991,B38M,27
2025-05-01 15:29:59,landing,DAL1177,B738,27
2025-05-01 15:31:07,takeoff,SKW3409,E75L,27
2025-05-01 15:31:46,takeoff,LXJ546,CL35,27
2025-05-01 15:32:57,takeoff,SKW3197,E75L,27
2025-05-01 15:34:09,takeoff,UAL1071,B772,27
2025-05-01 15:36:01,takeoff,SKW3198,E75L,27
2025-05-01 15:36:54,takeoff,SWA3162,B737,27
2025-05-01 15:38:09,landing,JBU189,A321,27
2025-05-01 15:39:31,takeoff,SWA799,B737,27
2025-05-01 15:40:49,takeoff,SWA2026,B737,27
2025-05-01 15:41:25,takeoff,ASA474,B738,27
2025-05-01 15:42:37,landing,SWA3648,B737,
2025-05-01 15:43:28,takeoff,NKS952,A320,27
2025-05-01 15:44:25,takeoff,SWA2204,B737,27
2025-05-01 15:46:27,landing,SWA1870,B737,27
2025-05-01 15:47:25,takeoff,TSU8122,AT75,27
2025-05-01 15:48:41,landing,UAL1712,B738,27
2025-05-01 15:49:48,takeoff,SKW3010,E75L,27
2025-05-01 15:50:47,landing,SWA1085,B737,27
2025-05-01 15:52:06,takeoff,SWA2153,B737,27
2025-05-01 15:53:07,landing,AAL1954,A321,27
2025-05-01 15:54:16,takeoff,SKW3342,E75L,27
2025-05-01 15:56:53,takeoff,ACA526,BCS3,27
2025-05-01 15:58:15,landing,SWA1360,B737,27
2025-05-01 15:59:50,landing,AAL2131,B738,27
2025-05-01 16:01:42,landing,ASA1021,B739,27
2025-05-01 16:02:49,takeoff,SKW3320,E75L,27
2025-05-01 16:04:05,landing,SWA2512,B737,27
2025-05-01 16:06:35,takeoff,HAL15,A332,27
2025-05-01 16:08:50,landing,SKW3967,E75L,27
2025-05-01 16:09:31,takeoff,FFT3383,A20N,27
2025-05-01 16:10:30,landing,RGY872,BE40,27
2025-05-01 16:11:26,takeoff,N884HJ,C680,27
2025-05-01 16:12:52,landing,SWA1261,B737,27
2025-05-01 16:14:02,takeoff,SWA1264,B737,27
2025-05-01 16:15:17,takeoff,UAL2476,B738,27
2025-05-01 16:15:53,landing,N636SY,GALX,27
2025-05-01 16:17:11,takeoff,ASA1438,B39M,27
2025-05-01 16:18:23,landing,UAL2309,B38M,27
2025-05-01 16:19:53,landing,ASA1074,B738,27
2025-05-01 16:21:10,takeoff,SWA2175,B737,27
2025-05-01 16:22:10,landing,SWA1201,B738,27
2025-05-01 16:23:17,takeoff,AAY3217,A320,27
2025-05-01 16:23:47,takeoff,SWA482,B737,27
2025-05-01 16:24:57,landing,SKW3105,E75L,27
2025-05-01 16:26:00,takeoff,SKW864W,E75L,27
